,D000,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322,D323,D324,D325,D326,D327,D328,D329,D330,D331,D332,D333,D334,D335,D336,D337,D338,D339,D340,D341,D342,D343,D344,D345,D346,D347,D348,D349,D350,D351,D352,D353,D354,D355,D356,D357,D358,D359,D360,D361,D362,D363,D364,D365,D366,D367,D368,D369,D370,D371,D372,D373,D374,D375,D376,D377,D378,D379,D380,D381,D382,D383,D384,D385,D386,D387,D388,D389,D390,D391,D392,D393,D394,D395,D396,D397,D398,D399,D400,D401,D402,D403,D404,D405,D406,D407,D408,D409,D410,D411,D412,D413,D414,D415,D416,D417,D418,D419,D420,D421,D422,D423,D424,D425,D426,D427,D428,D429,D430,D431,D432,D433,D434,D435,D436,D437,D438,D439,D440,D441,D442,D443,D444,D445,D446,D447,D448,D449,D450,D451,D452,D453,D454,D455,D456,D457,D458,D459,D460,D461,D462,D463,D464,D465,D466,D467,D468,D469,D470,D471,D472,D473,D474,D475,D476,D477,D478,D479,D480,D481,D482,D483,D484,D485,D486,D487,D488,D489,D490,D491,D492,D493,D494,D495,D496,D497,D498,D499,D500,D501,D502,D503,D504,D505,D506,D507,D508,D509,D510,D511
D476,88,2,1230,287,0,3899,3,153,7,75,136,11645,13,10,8,4900,190,24,18,1539,11114,676,0,0,0,2147,0,84,43,54,13,15183,23,53,28,18,4,4,116,1,4,21,1086,0,338,621,12,217,5254,983,2582,5,1029,117,2,299,782,143,4,2,159,1287,0,9,9,0,10,5153,90,129,0,0,2,404,152,11,0,85,141,1,407,60,735,112,323,54,4,0,3,14324,2210,3,1048,595,0,2,41,0,6132,0,28,12140,18,297,770,36264,24799,2,7,54,112,0,954,10877,3206,922,14,60,1,5784,11,0,104,31,4679,9,68,159,928,0,124,6684,1022,34,0,195,326,5,4156,370,1571,8473,739,3614,2368,2,118,142,937,359,228,133,38,25,3483,429,22,8893,3,1761,137,5061,0,18400,5093,101,0,6661,13680,24,126,7148,45,294,1223,1488,21,927,6016,4552,10016,14959,1747,532,99,70,22722,0,496,3,613,1199,159,12,22,127,15,49,10,285,0,73,122,546,14,0,18,727,211,341,592,25,3318,4988,6,502,4431,584,93,41,0,3444,6,523,807,0,0,0,66,1,0,11,26,2629,16,489,6933,73,0,0,171,22,0,0,0,15040,288,52,59,0,4041,450,4401,0,2,28,509,10,0,2,5,39,4,216,29,755,5105,4820,334,8571,7356,6,383,0,289,0,8,1,1819,741,0,369,361,3,3396,218,27,108,136,2606,271,0,1721,8508,781,4600,0,0,114,139,1999,6,0,325,18,1218,271,4,135,0,29,92,64,552,6,2062,3428,3871,904,2990,1,233,822,0,276,2370,153,21,480,22985,0,354,881,1181,172,17382,42960,24826,0,148,4,453,5837,620,1609,131,6,0,234,57,60,0,25,1965,322,88,2278,39,111,427,15,12287,111,29,2834,0,134,0,34,1396,35,0,17098,218,21,4659,6,0,41,431,66,16,586,182,0,281,8104,387,108,24,77,179,780,655,979,3574,180,102,399,873,143,0,1,34,1161,0,116,338,0,15,474,18,1029,2876,0,1,0,570,17083,8942,478,181,2,0,154,37,804,73,0,5175,730,5,15,643,691,23,10051,25415,5795,144,34,253,8390,7,31,7,95,398,115,5454,16010,4876,6,14,2250,2121,1297,240,4517,1,3,1141,11,11,637,436,275,6,5,0,40,34606,62,0,5281,0,54859,10607,2,6434,44,10,1,23,0,3,677,14,23,42,162,9349,33,0,46,2935,8048,0,691,2142,36,0,1411,15195,3,368,0,65,242,0,17,90
D477,222,0,1549,408,0,1831,9,409,16,285,290,18926,4,12,7,7862,545,39,10,1917,9097,1034,0,0,4,8396,0,91,17,61,32,15361,13,62,16,328,2,2,1106,0,4,42,5233,0,352,928,16,138,5678,6426,3867,2,600,563,1,929,440,276,13,3,398,926,0,8,7,0,15,3465,111,101,0,1,5,134,223,40,0,201,413,2,527,63,1542,67,299,25,7,0,18,15809,3919,2,1292,256,0,2,112,1,4580,0,43,8691,90,917,1389,63113,29034,7,40,119,76,1,1075,16002,5490,2268,23,95,2,17824,40,0,505,12,8719,0,174,82,3199,0,1312,14912,3098,120,0,182,328,1,18745,444,1116,9581,2719,4946,2303,1,30,228,9462,707,182,188,41,49,6893,427,21,11878,9,1651,123,10685,10,31979,6181,386,0,6026,12819,18,135,17353,40,124,1465,4474,83,1664,10496,8865,13575,17596,2785,454,442,24,32979,1,273,21,1038,807,1257,20,107,543,49,84,15,458,0,141,353,773,3,0,11,762,257,783,616,30,8499,7201,52,712,4432,382,231,56,0,2353,5,2398,583,0,7,0,79,0,0,5,67,2713,11,181,22837,156,0,0,138,24,0,0,0,21119,950,62,38,1,4386,1030,5771,0,3,11,591,22,0,1,7,105,2,116,191,401,10747,12996,687,14881,8787,59,625,0,847,0,37,4,5946,3235,7,425,214,2,13745,280,23,222,49,8012,196,0,3227,10457,2197,2764,0,0,3331,196,1181,73,0,1752,26,2194,315,332,1589,0,35,244,103,674,21,2498,3190,1883,2912,9115,2,167,581,0,392,15659,196,20,897,36544,2,373,722,2213,127,24844,51588,27675,5,420,1,1171,19293,889,554,391,31,0,301,82,35,1,74,3614,434,156,5129,19,155,1101,24,19278,64,28,4530,0,254,0,102,860,46,0,27515,828,69,7591,2,14,37,237,87,36,757,29,0,279,15910,1042,192,414,55,267,1147,2598,1557,4626,132,695,254,601,386,1,2,61,1668,0,338,525,0,16,607,106,3519,7184,0,1,0,505,33691,15357,317,142,7,0,247,109,1645,109,0,10855,3556,32,83,1520,486,29,24576,44561,6330,402,133,395,15080,8,128,5,181,290,305,8609,26216,5866,2,6,2914,3082,4185,479,8428,1,34,1509,3,10,1872,1406,972,77,4,2,33,23649,115,3,9103,0,10607,86981,10,6264,92,146,2,29,0,3,316,11,7,64,307,21231,20,0,96,2557,7902,0,869,1852,123,0,1676,21967,8,797,2,73,227,0,34,174
D478,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,4,1,0,0,2,3,1,0,0,0,4,0,0,0,1,2,22,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,6,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,3,0,0,1,0,3,0,35,5,0,0,0,0,0,0,6,3,2,0,0,0,12,0,0,1,0,8,0,0,0,1,0,0,3,3,0,0,0,0,0,9,0,0,5,1,4,1,0,0,0,4,1,0,1,0,0,0,1,0,4,0,1,0,13,0,16,4,0,0,0,3,0,0,20,0,1,2,0,0,0,12,10,5,3,2,0,0,0,22,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,3,0,3,2,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,12,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,6,19,0,17,2,1,0,0,0,0,0,0,3,3,0,0,0,0,12,1,0,0,0,1,0,0,4,3,1,0,0,0,3,0,0,0,0,6,0,2,0,0,1,0,0,1,0,2,0,0,2,2,1,13,0,0,3,0,0,5,0,0,1,23,0,0,1,0,0,8,34,14,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,24,0,0,11,0,1,0,0,0,0,0,0,0,0,12,1,1,0,0,1,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,23,12,0,0,0,0,0,0,0,0,0,7,4,0,0,4,0,0,24,19,2,0,0,0,1,0,0,0,0,0,0,6,14,3,0,0,1,4,2,1,7,0,0,0,0,0,1,2,0,0,0,0,0,15,0,0,3,0,2,10,54,1,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,1,1,0,4,1,0,0,6,19,0,0,0,0,0,0,0,1
D479,98,4,1010,41,0,1072,3,127,25,55,182,8243,10,21,11,2706,112,43,3,1158,2774,627,0,0,0,3013,0,22,14,35,2,9317,18,86,14,37,4,2,197,2,0,32,940,0,162,274,6,362,1715,841,3953,1,202,116,0,144,994,78,4,0,96,1139,0,5,6,0,6,3581,58,61,0,0,0,190,101,9,0,63,105,1,288,85,1051,23,207,20,2,0,26,8618,2281,0,640,759,0,0,71,0,3010,0,60,5481,41,783,765,20920,8409,4,6,49,44,1,351,3910,2078,804,4,34,5,5758,21,0,189,4,4778,4,22,136,724,0,222,2993,864,19,0,109,52,2,5286,208,691,6394,814,2134,1531,0,26,63,1317,286,35,44,26,31,1803,234,16,5139,4,474,52,5040,6,11521,4622,54,0,4039,4681,10,59,5481,40,236,453,1362,9,665,3439,4531,4600,3862,619,357,54,57,13314,0,464,3,338,309,228,31,19,224,32,12,4,176,0,5,56,436,2,0,6,122,176,189,388,16,1042,1931,12,203,2629,205,52,14,0,2354,3,694,267,0,0,0,35,1,0,23,16,1888,4,437,4189,17,0,0,45,11,0,0,1,10175,292,68,36,2,3058,181,2262,0,1,6,271,5,0,0,4,77,1,98,7,602,2607,4158,105,6771,2696,12,339,0,141,0,0,1,1118,1179,3,203,353,1,2686,59,17,47,28,1808,175,0,902,3423,444,544,0,0,450,70,368,33,0,342,23,531,196,6,279,0,24,12,46,339,7,1493,1210,920,1224,2605,0,72,180,0,307,2661,111,15,200,14948,1,181,392,511,115,7110,20587,10889,4,105,1,1097,3436,332,1247,209,7,0,102,57,63,0,14,284,317,16,1641,28,37,388,5,4807,118,17,694,0,196,0,5,680,10,0,9667,241,21,4012,1,3,67,485,22,2,305,107,0,92,4928,209,83,36,51,110,361,475,413,1738,69,44,211,456,157,0,0,88,723,0,85,78,0,9,114,8,448,2301,0,1,0,357,12200,5310,594,32,1,0,138,61,357,52,0,3425,685,26,16,712,495,13,5253,9369,1623,98,10,114,6666,6,32,1,39,161,55,2267,12262,2859,0,9,1111,1908,755,149,2667,2,20,431,2,10,305,558,641,7,0,0,24,18071,33,1,3032,0,6434,6264,1,31601,21,19,2,16,0,1,106,4,8,1,141,5708,11,0,70,1137,4546,0,774,694,12,0,940,10036,2,522,0,88,72,0,23,193
D480,3,0,15,1,0,3,0,1,0,0,1,39,0,0,0,25,0,2,0,0,28,3,0,0,0,90,0,0,0,0,0,36,0,0,0,2,0,0,4,0,0,0,17,0,1,4,0,0,13,33,48,0,3,4,0,5,3,0,0,0,0,4,0,0,1,0,0,9,0,1,0,0,0,3,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,60,14,0,3,2,0,0,0,0,6,0,0,46,1,1,2,91,44,0,0,2,0,0,4,41,8,3,0,1,0,67,0,0,5,0,20,0,0,0,5,0,9,26,3,2,0,0,0,0,75,1,7,32,12,5,5,0,0,0,33,3,0,0,2,2,13,0,0,32,0,3,1,33,0,155,15,1,0,15,29,0,2,91,0,0,1,44,0,10,28,12,15,31,5,0,5,0,42,0,5,0,3,0,4,0,2,0,0,1,2,3,0,0,0,6,0,0,0,1,0,0,1,0,9,15,1,1,18,1,1,0,0,21,0,14,8,0,1,0,1,0,0,0,0,1,0,0,14,0,0,0,1,0,0,0,0,75,5,0,0,0,15,1,12,0,0,0,3,0,0,0,0,0,0,0,1,0,48,51,10,76,18,1,2,0,3,0,0,0,58,14,0,0,2,0,29,1,0,1,0,36,1,0,21,9,5,10,0,0,21,0,4,1,0,21,0,3,0,0,18,0,0,5,0,0,0,6,5,9,33,16,0,2,2,0,2,65,1,0,1,147,0,0,3,5,1,29,117,37,0,0,0,6,54,7,0,0,0,0,1,0,0,0,0,3,2,0,25,1,0,18,0,13,0,0,14,0,0,0,1,5,0,0,67,1,0,20,0,0,0,3,1,0,0,0,0,3,51,1,0,3,0,1,2,6,0,16,1,1,0,1,1,0,0,1,2,0,3,0,0,0,0,0,5,16,0,0,0,1,132,20,0,1,0,0,0,1,8,0,0,53,7,1,0,10,1,0,97,90,7,1,0,1,79,0,2,1,0,2,1,13,82,21,0,0,20,15,35,1,18,0,1,2,0,0,1,19,3,6,0,0,0,81,0,0,6,0,44,92,0,21,258,2,0,0,0,0,0,1,1,0,0,39,0,0,1,6,10,0,5,9,1,0,19,84,0,2,0,0,1,0,1,0
D481,1,0,1,0,0,5,0,0,0,0,1,26,0,0,0,45,0,0,0,4,25,5,0,0,0,62,0,0,0,0,1,53,0,2,0,1,0,0,1,0,0,0,15,0,1,0,0,0,5,45,8,0,1,1,0,27,6,0,0,0,2,4,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,1,0,11,1,0,1,0,0,0,74,55,0,19,0,0,0,1,0,1,0,0,20,1,1,1,95,24,2,0,0,0,0,3,88,25,2,0,1,0,60,0,0,9,0,33,0,1,0,8,0,21,17,39,3,0,0,0,0,62,3,2,17,7,13,2,0,0,0,29,1,1,0,0,0,4,0,0,40,0,1,2,33,0,139,3,4,1,1,28,1,0,71,0,0,0,34,0,6,2,38,27,11,6,5,10,0,94,0,6,0,6,0,4,3,0,10,0,0,0,1,0,0,0,2,0,0,0,2,0,7,1,0,8,28,0,1,37,0,3,4,0,22,0,7,3,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,1,0,0,0,0,21,10,0,0,0,5,0,19,0,0,0,0,1,0,0,0,0,0,0,6,1,7,23,2,35,1,3,1,0,7,0,0,0,22,6,0,0,0,0,54,4,0,0,0,10,0,0,13,33,8,2,0,0,70,0,6,1,0,17,0,18,0,3,11,1,0,0,1,0,0,17,1,4,21,12,0,1,0,0,1,83,0,0,3,101,0,0,13,6,0,19,75,32,0,0,0,12,27,9,1,1,0,0,0,0,0,0,0,0,1,0,73,0,1,9,0,37,0,0,9,0,0,0,2,6,0,0,126,2,0,11,0,0,1,2,0,0,3,0,0,3,127,5,4,5,0,1,3,32,9,2,0,2,0,3,1,0,0,0,2,0,5,0,0,0,0,1,9,39,0,0,0,4,143,64,1,0,0,0,0,9,5,0,0,69,51,0,1,17,0,0,126,28,8,0,0,6,51,0,1,0,2,7,0,29,40,12,0,0,4,38,28,1,36,0,0,4,0,0,11,19,1,0,0,0,0,79,0,0,48,0,10,146,1,19,2,278,0,0,0,0,0,0,0,1,2,36,0,0,0,1,14,0,2,4,3,0,16,102,0,9,0,1,4,0,0,0
D482,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,2,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
D483,0,0,1,0,0,3,0,1,0,0,0,16,0,0,0,38,1,0,0,1,9,0,0,0,0,9,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,4,1,3,0,0,0,0,14,0,6,0,0,2,2,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,93,4,0,5,4,0,0,0,0,4,0,0,12,0,1,0,93,56,0,0,0,1,0,12,27,17,1,0,0,0,1,0,0,0,0,14,0,0,0,3,0,2,4,3,0,0,0,0,0,9,1,0,8,0,2,3,0,0,0,10,1,0,0,0,0,1,0,0,7,0,1,1,1,0,36,30,1,0,1,16,0,0,20,1,0,0,2,1,0,9,7,12,2,4,2,0,0,59,0,0,0,21,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,7,22,0,2,2,4,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,20,1,0,0,11,0,0,0,22,1,0,0,0,0,7,0,1,2,0,1,0,0,26,6,0,1,0,0,1,0,1,0,0,0,1,3,0,0,1,0,1,0,0,3,0,1,2,10,0,1,0,1,0,0,1,8,0,0,0,54,0,0,2,6,0,41,110,18,0,0,0,0,4,1,0,1,0,0,1,9,0,0,0,0,0,0,17,0,0,3,0,51,2,0,0,0,0,0,0,6,0,0,45,0,0,7,0,0,0,1,0,1,0,0,0,0,11,0,0,1,0,0,0,8,2,29,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,0,25,29,0,0,0,0,0,1,3,5,0,8,8,0,0,1,5,0,18,58,10,1,0,2,20,0,0,0,27,0,0,3,14,56,0,0,5,4,1,0,29,0,0,6,0,0,7,2,1,0,0,0,0,84,0,0,30,0,23,29,0,16,0,0,0,128,0,0,0,0,0,0,0,16,0,0,0,1,6,0,1,4,0,0,3,44,0,2,0,11,1,0,0,0
D484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D485,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19,6,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,3,0,1,0,1,0,11,0,0,0,2,14,0,0,4,0,0,0,1,0,0,0,2,5,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,5,16,21,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,16,0,0,0,0,4,0,0,0,0,0,0,9,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,1,0,3,0,3,3,0,1,0,0,0,0,0,24,0,0,0,0,0,6,0,0,0,3,3,0,0,3,0,0,1,5,0,0,0,0,0,0,0,0
D486,1,0,10,0,0,345,0,4,0,0,1,281,0,1,2,118,8,2,0,110,257,31,0,0,0,9,0,1,0,2,0,370,0,1,0,0,2,0,5,0,1,1,8,0,2,8,0,1,168,9,49,0,3,2,0,0,7,1,0,0,2,21,0,0,0,0,0,71,0,0,0,0,0,0,1,0,0,5,5,0,2,0,6,0,5,1,0,0,0,155,11,0,10,6,0,0,0,0,392,0,0,291,0,5,9,1341,872,0,0,1,6,0,3,187,90,31,1,2,0,43,1,0,9,0,103,0,1,8,18,0,0,189,8,0,0,10,3,0,16,9,8,180,34,146,21,0,1,9,9,8,0,5,0,0,129,16,0,98,0,65,0,124,0,565,176,0,0,155,178,6,2,75,3,3,61,10,0,1,220,92,833,494,149,4,1,0,542,0,4,0,0,79,0,0,0,3,0,3,0,1,0,0,4,17,0,0,0,25,4,2,0,0,28,85,0,12,87,25,0,0,0,99,0,2,11,0,0,0,1,0,0,0,0,59,0,6,354,2,0,0,8,0,0,0,0,555,3,0,0,0,326,2,70,0,0,0,8,0,0,0,0,1,0,6,0,10,171,65,5,107,188,0,4,0,1,0,0,0,9,18,0,3,15,1,47,1,1,1,1,18,13,0,7,361,7,97,0,0,1,6,196,0,0,1,0,2,10,0,3,0,2,2,0,2,0,25,65,42,12,66,0,0,14,0,13,14,9,0,16,448,0,31,4,36,5,754,1389,759,0,0,0,10,186,7,16,4,0,0,10,2,0,0,0,82,1,0,9,7,5,6,1,426,3,1,60,0,4,0,0,4,0,0,646,9,0,135,1,0,1,2,0,0,49,3,0,0,44,1,1,0,4,2,34,2,3,87,1,0,5,40,4,0,0,1,14,0,5,59,0,0,11,0,22,5,0,0,0,6,381,203,6,0,0,0,5,0,1,0,0,29,1,0,0,3,8,1,121,439,165,2,0,1,202,0,1,0,0,3,0,81,342,17,0,0,66,13,8,11,72,0,0,39,0,0,7,4,2,0,0,0,0,774,4,0,75,0,677,316,1,106,0,0,0,0,0,0,1490,0,0,0,2,166,0,0,1,104,138,0,12,27,0,0,40,204,0,3,0,0,0,0,0,0
